NITROGENASE-RXN AFE_1563
LIPIDADISACCHARIDESYNTH-RXN AFE_1625
SUCCCOASYN-RXN AFE_2610
GLYC3PDEHYDROGBIOSYN-RXN AFE_0969
CARBPSYN-RXN AFE_2399
3.6.3.4-RXN AFE_1073
AIRS-RXN AFE_1190
DTMPKI-RXN AFE_1174
1.6.99.5-RXN AFE_0486
NADH-DEHYDROGENASE-QUINONE-RXN AFE_0486
1.6.99.5-RXN AFE_0476
NADH-DEHYDROGENASE-QUINONE-RXN AFE_0476
BRANCHED-CHAINAMINOTRANSFERVAL-RXN AFE_2491
BRANCHED-CHAINAMINOTRANSFERLEU-RXN AFE_2491
BRANCHED-CHAINAMINOTRANSFERILEU-RXN AFE_2491
ARGSUCCINSYN-RXN AFE_2633
RXN-10 AFE_2633
H2SOXIREDPYRO-RXN AFE_0918
1.97.1.3-RXN AFE_0918
RXN-8269 AFE_0918
3-OCTAPRENYL-4-OHBENZOATE-DECARBOX-RXN AFE_0721
POLYNUCLEOTIDE-ADENYLYLTRANSFERASE-RXN AFE_2809
2.7.3.9-RXN AFE_0092
1.8.98.1-RXN AFE_0516
PANTOATE-BETA-ALANINE-LIG-RXN AFE_1315
RXN-6401 AFE_1315
NITROGENASE-RXN AFE_1564
5.1.3.20-RXN AFE_1125
RIBULOSE-BISPHOSPHATE-CARBOXYLASE-RXN AFE_2603
DNA-DIRECTED-DNA-POLYMERASE-RXN AFE_0021
GLYOXII-RXN AFE_2640
5.4.2.10-RXN AFE_0471
RXN0-5256 AFE_2106
PYRROLINECARBREDUCT-RXN AFE_2766
CITSYN-RXN AFE_0045
VALINE--TRNA-LIGASE-RXN AFE_0893
NITROGENASE-RXN AFE_1562
RXN-11302 AFE_0186
RXN-11351 AFE_0186
RXN-11065 AFE_0186
3.4.16.4-RXN AFE_0186
TRANS-RXN9AR-16579 AFE_0087
PROTOPORGENOXI-RXN AFE_2468
DLACTDEHYDROGFAD-RXN AFE_2885
SHIKIMATE-KINASE-RXN AFE_2306
2.4.1.109-RXN AFE_2797
PHOSPHASERSYN-RXN AFE_2291
DNA-DIRECTED-RNA-POLYMERASE-RXN AFE_2711
ACETYLORNDEACET-RXN AFE_2711
CYTOCHROME-C-OXIDASE-RXN AFE_3182
4.2.1.103-RXN AFE_1088
HEMEOSYN-RXN AFE_2404
POLYNUCLEOTIDE-ADENYLYLTRANSFERASE-RXN AFE_1310
HISTAMINOTRANS-RXN AFE_0068
2TRANSKETO-RXN AFE_3081
1TRANSKETO-RXN AFE_3081
RXN-9583 AFE_3081
RIBULOSE-BISPHOSPHATE-CARBOXYLASE-RXN AFE_0058
TRNA-GUANINE-N7--METHYLTRANSFERASE-RXN AFE_2757
RXN0-5268 AFE_2406
R468-RXN AFE_2261
S-FORMYLGLUTATHIONE-HYDROLASE-RXN AFE_2342
RXN-9615 AFE_0193
RXN-8992 AFE_0210
PHOSACETYLTRANS-RXN AFE_1277
ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN AFE_1021
ACETYLORNTRANSAM-RXN AFE_2631
3.1.11.2-RXN AFE_2848
SULFATE-ADENYLYLTRANS-RXN AFE_0139
ADENYLYLSULFKIN-RXN AFE_0139
RXN-8668 AFE_0163
RXN-8669 AFE_0163
PEPTIDYLPROLYL-ISOMERASE-RXN AFE_2135
PSEUDOURIDYLATE-SYNTHASE-RXN AFE_0879
TRANS-RXN-128 AFE_2453
SULFITE-REDUCTASE-FERREDOXIN-RXN AFE_3210
SULFITE-REDUCT-RXN AFE_3210
TRANS-RXN9AR-16481 AFE_0326
GAPOXNPHOSPHN-RXN AFE_3082
1.2.1.13-RXN AFE_3082
ERYTH4PDEHYDROG-RXN AFE_3082
GST-RXN AFE_2737
GSHTRAN-RXN AFE_2737
POLYNUCLEOTIDE-ADENYLYLTRANSFERASE-RXN AFE_1311
TRANS-RXN-141 AFE_3114
TRANS-RXN-141A AFE_3114
5.3.4.1-RXN AFE_0162
PYRIMSYN1-RXN AFE_2099
CPM-KDOSYNTH-RXN AFE_2546
CMPKI-RXN AFE_2142
UMPKI-RXN AFE_2142
RXN-7913 AFE_2142
SULFITE-REDUCT-RXN AFE_3211
TETRAACYLDISACC4KIN-RXN AFE_2548
GLUCOSE-1-DEHYDROGENASE-RXN AFE_1229
